transaction_amount,transaction_type,account_balance,device_type,location,merchant_category,daily_transaction_count,avg_transaction_amount_7d,failed_transaction_count_7d,card_type,card_age,transaction_distance,authentication_method,is_weekend,fraud_label,hour,day,month,day_of_week
63.83,3,75526.24,0,3,3,14,69.19,1,3,45,3878.08,0,0,0,20,24,4,0
147.71,3,40660.04,0,3,3,5,191.11,2,2,20,3055.68,1,0,0,16,11,4,1
127.57,0,43073.71,0,0,4,7,139.86,0,3,228,3424.04,1,1,0,10,12,4,2
15.24,3,61396.94,2,1,4,9,198.16,2,0,195,840.45,2,0,0,8,7,12,3
80.4,3,60394.4,0,2,4,10,292.42,4,2,95,4530.61,0,0,1,6,18,1,2
3.13,3,34717.05,2,1,3,8,266.86,2,0,87,2351.65,0,0,0,6,27,4,3
9.53,2,60125.25,1,4,2,10,389.23,0,0,206,3951.42,2,1,0,15,18,8,4
24.73,1,26301.84,2,2,0,2,181.3,2,0,162,1199.1,0,1,0,0,22,7,5
138.21,3,38278.34,2,2,1,2,424.38,1,2,158,4183.86,2,0,0,9,24,12,6
11.77,0,42891.23,1,0,2,5,434.42,4,1,106,1296.27,0,1,1,20,10,11,4
129.22,1,19305.37,1,0,0,13,368.53,3,1,44,665.43,2,0,0,18,18,5,3
13.36,1,12122.23,2,2,2,6,363.3,0,3,159,142.32,2,0,0,16,13,7,3
272.93,3,34981.69,1,0,2,4,128.02,3,2,121,4510.4,0,0,0,2,10,3,4
23.69,3,24626.76,1,4,3,13,23.77,2,0,25,2506.35,0,0,0,3,16,2,3
22.63,1,85873.02,1,2,2,3,282.11,3,1,163,817.02,1,1,0,4,7,5,6
92.27,0,69161.25,1,1,4,14,296.52,4,2,185,4627.43,3,0,1,5,31,8,3
112.72,0,85678.68,2,0,0,5,403.13,3,1,64,229.77,0,0,0,10,24,2,4
213.77,0,44775.66,1,1,0,11,449.66,2,0,179,3352.98,3,1,0,12,12,9,1
18.98,2,96821.71,2,3,0,5,286.61,1,1,202,1607.61,1,0,1,10,27,4,3
38.1,2,80339.18,2,1,3,4,376.23,0,3,209,2141.19,3,0,0,7,8,6,3
29.6,0,91272.39,1,0,2,5,423.67,3,0,132,3869.54,0,0,0,17,7,1,5
231.0,3,50228.86,2,0,3,11,261.18,2,2,11,736.9,0,0,1,10,21,4,4
24.48,3,89578.63,1,1,1,10,380.6,2,2,223,2541.13,0,0,0,12,26,7,2
306.6,3,66429.56,0,1,2,13,130.04,0,1,108,1700.82,0,1,0,20,7,11,1
29.72,3,88648.99,0,0,2,3,54.98,2,2,55,2254.22,1,0,0,10,24,11,4
124.88,2,72517.85,2,3,1,4,459.11,1,2,93,1379.33,3,0,0,8,6,10,4
27.92,1,77140.55,1,4,0,3,464.6,0,1,105,3061.09,3,0,0,2,14,11,1
34.39,2,44749.59,1,0,2,10,342.54,3,0,182,3093.97,1,0,0,6,31,12,6
95.05,1,83198.66,1,0,3,10,37.39,1,0,151,1498.03,3,0,0,22,4,4,1
191.97,2,67585.77,2,1,0,13,302.64,3,2,41,4856.51,2,0,0,11,12,11,6
25.38,0,48704.75,2,3,0,7,115.09,3,2,168,3408.27,2,0,0,6,10,12,6
63.37,3,47665.1,1,0,2,4,109.07,2,1,20,3572.45,3,0,0,12,16,7,6
16.97,3,52165.88,1,2,1,10,319.69,0,3,103,4184.27,0,0,0,11,19,8,5
363.86,3,90037.97,0,0,1,10,24.57,2,1,140,4614.29,3,1,0,3,28,9,3
106.2,1,31890.74,0,0,1,6,418.15,3,3,94,1352.51,3,0,0,5,18,8,4
70.42,1,21248.8,0,1,4,1,377.0,1,1,15,1571.39,0,0,0,4,14,8,0
21.33,0,96219.67,2,2,0,2,159.98,0,1,77,1837.58,0,1,0,1,24,6,5
64.23,1,67088.03,0,3,0,14,324.54,0,2,38,3717.63,2,0,0,19,5,4,2
298.9,3,55658.79,2,3,4,14,60.8,1,2,42,2015.46,1,0,1,5,30,8,2
173.68,3,50940.03,1,0,2,10,282.28,4,1,71,146.07,0,0,1,10,17,6,5
126.92,2,85516.43,2,4,4,12,373.92,4,1,201,4787.71,2,0,1,6,3,11,4
40.64,0,76016.81,1,0,1,5,359.54,1,0,128,620.67,2,0,0,14,23,7,6
12.87,2,51260.5,2,2,0,1,230.41,2,1,235,1729.86,3,1,0,4,5,8,5
3.1,1,76141.76,1,2,4,10,204.59,4,3,67,2958.68,2,0,1,12,30,3,3
77.02,0,35240.55,2,1,4,10,232.91,0,1,194,3686.61,1,0,0,4,11,4,1
9.21,1,29122.14,1,3,3,3,58.34,2,3,167,307.19,1,0,0,1,7,5,6
24.95,3,40716.69,0,0,0,1,57.26,1,2,70,1674.43,1,1,0,7,3,10,1
31.32,0,11082.48,2,0,4,11,68.46,3,3,31,2672.02,2,1,0,23,27,12,2
60.8,2,48076.05,1,1,3,1,130.51,1,2,74,1388.4,3,1,0,8,25,5,3
98.82,1,20800.69,2,2,3,10,440.03,0,1,151,743.79,3,0,0,14,14,1,5
32.32,3,35239.44,2,0,2,12,260.55,1,0,93,2716.25,1,0,0,22,25,12,0
109.35,3,42365.28,1,0,3,4,355.47,1,1,103,3099.26,0,0,0,15,4,4,1
35.93,0,83856.0,0,4,1,7,233.36,2,0,167,1550.67,2,0,0,22,6,9,2
282.59,1,62888.38,2,2,1,2,105.64,0,1,104,1603.64,3,0,1,16,4,9,0
263.8,0,94812.91,2,4,0,3,476.31,2,3,139,1300.58,1,0,1,3,10,10,1
58.79,3,81359.53,1,0,2,8,373.39,0,1,91,2367.83,2,1,0,22,15,3,2
124.74,1,61520.85,2,1,4,13,293.03,1,2,196,2379.56,3,0,0,14,21,5,6
4.97,0,19504.57,2,1,0,8,394.36,3,2,205,3639.03,3,0,0,21,21,8,0
50.4,1,70996.25,1,0,1,14,84.89,1,0,74,1043.77,3,0,0,8,4,12,0
180.62,0,53345.96,2,3,4,4,47.79,2,1,90,3326.17,3,0,0,8,5,7,2
140.6,0,13935.49,2,3,0,9,227.36,1,2,200,2864.87,2,0,0,17,26,9,1
231.35,0,92933.91,0,4,2,8,478.76,1,3,34,2273.51,3,1,0,11,11,9,0
212.22,3,6753.07,1,3,4,4,107.26,4,1,179,1046.9,0,0,1,20,27,12,2
158.85,1,11813.99,2,2,4,14,465.49,1,0,79,2653.12,3,0,0,12,30,7,6
4.43,1,18905.83,0,2,3,9,292.94,3,2,18,2594.13,3,1,0,8,1,4,5
85.45,0,41767.46,1,3,2,14,228.01,0,2,92,4570.28,1,0,0,10,9,9,5
99.32,2,29329.35,2,0,0,10,34.74,4,3,167,3368.55,0,1,1,3,30,3,3
87.29,1,82933.42,2,3,4,2,270.04,0,0,115,4233.75,1,1,0,23,6,9,2
22.4,3,87085.89,0,4,1,9,258.53,1,2,78,3264.92,2,1,0,0,18,12,0
119.44,0,18698.54,2,2,0,2,21.14,0,1,105,4487.33,1,0,0,17,2,12,5
18.41,3,48723.59,2,3,1,2,51.4,3,2,82,1931.13,2,0,0,19,28,11,1
57.85,0,28459.14,0,2,1,13,71.66,4,0,81,3003.21,2,0,1,15,27,11,0
27.64,2,12521.24,1,4,3,6,127.39,4,1,16,4150.25,1,0,1,21,5,8,5
64.61,1,94289.85,1,2,0,11,332.4,3,0,139,366.13,1,0,0,22,22,6,3
80.2,2,82626.55,2,3,4,5,151.98,0,2,159,178.6,2,1,0,11,17,12,6
11.91,0,75447.75,1,1,4,7,86.6,1,3,69,961.72,1,0,0,19,12,7,2
202.75,0,58180.36,2,0,4,8,77.57,0,1,6,1798.14,2,1,0,6,18,9,0
45.05,0,7142.75,1,3,2,6,177.07,0,2,32,4623.41,1,1,1,22,20,11,0
68.08,0,11823.74,1,3,1,14,124.97,2,3,116,4500.89,2,1,0,7,9,3,3
38.38,2,33764.14,2,2,3,3,111.29,4,1,109,249.27,3,0,1,5,20,7,3
40.68,0,73513.35,0,0,0,3,27.19,1,1,40,768.22,0,0,1,11,3,10,1
28.93,0,21457.06,0,1,4,4,356.78,0,0,124,293.67,3,0,0,22,25,2,5
221.65,0,4113.54,2,1,2,1,380.62,0,2,153,4158.29,0,0,1,3,30,6,4
203.14,1,55114.35,0,3,1,14,29.4,4,0,121,3874.84,1,0,1,20,3,8,3
77.56,0,35091.4,0,1,1,3,126.65,2,1,84,1895.75,2,1,0,19,22,9,4
35.48,0,96433.2,1,3,4,10,274.94,4,0,223,1801.72,1,0,1,3,27,8,6
69.42,0,55756.5,1,0,0,2,67.54,3,0,38,1047.08,2,0,0,19,27,3,0
105.88,1,12611.33,2,2,1,12,155.72,1,1,207,242.67,3,0,0,14,2,8,2
97.23,2,50077.22,2,1,0,4,206.5,3,3,103,1523.59,2,0,0,2,10,11,4
86.97,2,3919.19,0,2,3,10,236.75,4,2,8,2567.75,1,0,1,18,29,1,6
110.75,3,67075.63,1,2,0,4,484.92,3,0,89,2290.86,3,0,0,13,14,12,3
17.04,2,41936.84,2,3,1,6,403.46,3,1,34,4423.09,1,0,0,13,28,6,2
12.13,1,86906.22,0,0,0,4,347.35,1,1,73,4849.83,0,0,0,12,16,5,1
260.47,2,93531.71,2,3,1,8,287.19,1,2,63,4578.71,1,1,1,23,6,7,3
68.1,3,58137.59,0,4,0,3,441.96,3,0,20,3548.05,1,1,0,16,7,12,3
170.02,3,91895.42,2,0,3,2,321.48,3,2,98,3879.07,0,0,0,0,17,8,3
182.66,1,54959.93,1,1,1,5,351.34,0,3,126,3278.32,2,0,0,20,30,10,0
144.37,3,35724.0,0,1,2,8,155.47,1,2,200,2908.48,3,0,0,6,27,3,0
17.99,1,96549.63,1,0,0,11,424.95,0,0,139,2490.71,2,0,0,0,26,4,2
3.37,3,36893.16,0,3,3,1,462.86,4,2,116,558.31,2,0,1,2,1,3,2
82.06,3,7950.28,1,2,2,1,193.5,0,0,52,302.33,2,0,1,10,9,9,5
5.32,0,29798.65,2,1,0,6,326.03,4,1,10,745.05,0,1,1,6,4,11,5
119.95,3,13855.65,1,1,1,12,129.11,0,2,91,2044.59,1,1,0,23,16,9,5
181.73,2,47292.37,2,1,4,12,63.67,3,0,57,3586.61,0,1,0,18,13,10,4
62.48,1,43449.02,1,1,4,5,325.07,4,2,157,3964.15,1,0,1,8,1,3,2
40.59,2,62096.26,2,1,3,3,122.7,3,0,9,2330.48,1,0,0,8,24,6,5
112.39,1,70908.88,2,3,2,2,413.55,0,2,82,3485.53,3,1,0,16,26,12,1
28.15,0,31016.2,1,2,3,12,254.87,0,1,23,801.05,1,0,0,21,9,4,6
15.36,1,37831.81,0,1,2,14,185.67,1,0,87,4298.23,3,0,0,2,11,11,5
201.85,3,4154.2,1,4,1,6,229.49,2,2,144,3906.3,1,0,0,13,13,10,4
149.61,3,69323.72,0,3,1,6,356.61,3,0,71,3940.39,0,1,0,22,28,12,3
226.29,3,75649.09,0,0,1,5,94.12,0,1,130,3043.38,3,0,1,13,24,7,0
46.84,1,31019.08,2,2,4,14,377.67,2,3,7,2066.62,0,1,1,4,25,7,1
82.54,1,38836.67,2,4,2,12,84.02,4,3,135,150.75,3,0,1,12,25,9,0
16.98,2,69035.41,2,4,4,3,235.83,1,0,94,2912.49,3,0,0,13,26,10,3
38.75,2,17387.96,0,1,1,6,457.1,3,1,216,1575.68,0,0,0,7,27,9,2
68.78,2,62815.77,0,2,2,5,467.5,3,1,70,1119.49,2,1,0,8,4,8,4
49.26,1,3624.33,2,3,4,13,61.04,2,1,229,614.8,2,0,1,1,8,3,2
5.0,2,60075.24,2,1,2,5,307.9,4,1,116,2829.92,3,0,1,8,13,5,5
29.2,2,66166.15,1,2,2,14,232.07,1,3,46,1484.21,3,0,0,5,21,9,3
170.87,0,29864.62,0,1,0,11,207.57,3,3,88,2099.09,0,0,0,6,9,2,3
45.8,1,94938.23,1,1,4,6,368.61,3,0,158,3413.07,1,1,0,13,21,2,1
70.08,3,4792.45,1,2,3,4,45.2,1,3,127,1095.37,1,0,0,9,22,8,1
27.37,3,74744.35,1,0,1,3,439.77,4,0,187,3265.08,1,0,1,0,30,5,1
62.0,3,36146.11,1,4,0,5,451.0,1,2,161,1002.64,2,0,0,21,16,3,3
33.64,3,9674.18,2,4,4,10,271.4,4,0,55,4345.67,1,0,1,23,29,10,6
32.25,0,80244.56,0,4,3,7,160.14,2,0,59,4792.4,3,0,0,12,5,8,5
287.98,1,13238.9,2,4,3,9,40.71,3,2,19,4819.85,3,1,0,4,27,11,0
266.58,2,36685.47,1,2,1,13,33.58,4,0,195,4150.2,2,1,1,9,9,4,6
300.74,0,26420.43,1,4,1,12,250.69,1,1,62,102.83,3,0,0,17,22,4,5
76.19,2,78605.45,1,3,3,2,119.83,2,2,59,4001.3,2,1,0,3,21,11,1
29.84,2,32677.53,2,2,4,1,363.45,3,3,117,4205.45,2,1,0,4,23,11,3
231.29,0,86619.89,0,1,1,9,417.6,3,0,18,1588.39,0,1,1,16,12,12,1
68.44,0,78645.6,0,0,4,3,339.58,3,2,203,985.65,0,1,0,16,27,5,5
13.19,1,38925.5,0,4,0,7,196.24,0,0,212,2924.24,2,0,0,8,23,9,5
120.32,1,88693.55,2,1,1,11,230.14,3,1,198,1168.01,3,0,0,9,7,9,3
26.47,1,20500.38,0,2,4,13,391.12,2,3,194,712.35,3,0,0,6,21,9,3
160.58,0,60955.11,2,2,3,7,315.32,1,0,198,2927.89,3,0,0,11,3,6,5
52.5,2,74184.21,1,4,3,9,146.86,4,3,219,1370.95,3,0,1,17,13,10,4
68.58,1,55847.43,1,3,1,12,317.51,1,0,234,637.53,2,0,0,18,3,11,4
8.26,1,78451.8,2,1,4,2,417.81,3,1,164,1041.91,0,0,1,7,16,3,3
133.82,1,94254.86,2,1,2,12,297.21,1,2,168,1396.62,2,1,0,21,7,10,5
251.8,0,87999.62,1,2,3,13,56.74,0,0,28,3030.98,1,0,0,12,3,10,1
44.29,2,52056.64,1,2,0,14,400.96,0,3,170,4212.17,0,0,1,8,17,3,4
25.05,1,47100.97,2,4,0,5,105.48,2,0,204,2959.47,1,0,1,2,16,10,0
136.49,3,29450.32,2,3,4,2,341.6,3,1,160,3418.29,2,0,0,9,21,8,0
51.97,0,41278.5,2,2,1,10,66.31,3,3,89,4297.64,0,0,0,2,23,3,3
71.39,2,53067.51,0,2,1,14,302.66,3,3,105,2144.29,3,1,0,20,13,2,0
50.8,0,87491.78,0,3,0,5,158.15,2,1,112,4890.79,3,1,1,9,10,5,2
56.64,0,34337.36,1,2,1,11,120.63,2,2,230,678.61,0,1,0,21,5,4,2
23.31,0,2489.44,2,2,0,14,104.81,3,1,232,1519.96,2,0,0,14,5,11,6
145.45,0,36784.22,2,3,3,13,259.93,3,3,71,3207.3,3,1,0,9,8,8,1
268.52,2,52543.18,1,0,0,13,371.12,0,3,6,4534.39,3,0,0,5,9,1,0
6.17,3,70452.68,2,0,2,14,47.22,4,1,7,3239.85,1,0,1,21,1,10,6
18.36,1,88596.86,0,4,2,1,427.01,4,3,176,2034.61,3,1,1,19,26,5,4
52.59,1,24496.15,2,2,4,3,98.36,3,0,48,2689.52,3,0,0,19,28,2,1
186.24,2,18322.9,0,0,4,9,323.17,1,3,32,1453.65,0,0,0,5,26,9,1
35.02,2,93166.03,1,2,0,14,366.68,2,2,30,4882.6,0,0,1,10,3,3,4
119.32,3,31537.89,0,4,1,4,143.86,0,0,34,277.94,3,1,1,18,10,8,3
92.61,2,72970.82,2,1,0,1,191.55,2,3,203,2406.42,2,0,0,16,26,8,5
10.15,3,6991.1,1,1,1,6,166.95,4,2,55,822.58,0,0,1,2,27,2,0
13.14,3,23806.33,2,4,2,11,150.45,2,0,201,1710.18,0,0,0,19,2,4,6
51.35,2,11501.26,0,0,1,11,436.88,3,0,85,938.97,1,0,0,9,4,11,5
13.31,3,25559.94,1,1,3,7,62.27,1,3,25,4111.49,2,0,1,15,27,1,4
72.49,2,22118.14,2,0,1,5,100.2,0,1,29,4473.62,1,0,0,6,13,1,4
152.06,2,77353.87,0,4,3,9,21.01,0,3,230,2716.44,1,0,0,5,2,5,1
50.7,2,77270.18,0,1,0,2,49.55,4,2,185,4062.1,1,1,1,7,29,3,2
134.91,0,93551.86,2,3,3,4,338.13,1,2,195,453.58,2,1,1,0,23,9,5
29.94,1,21204.72,1,2,4,2,370.98,2,1,35,1339.95,1,0,1,4,30,12,5
33.34,0,4358.8,1,2,1,14,271.92,1,0,46,4257.54,0,0,1,16,1,12,4
97.88,3,27699.17,0,3,3,1,169.96,2,2,119,2714.75,0,0,0,9,29,12,4
7.41,0,8316.6,1,1,4,13,194.54,3,3,164,3201.41,1,0,1,0,9,1,0
3.96,1,27213.94,1,3,0,3,284.94,4,1,44,1198.68,0,1,1,21,26,5,4
101.03,1,34268.43,2,3,4,13,73.66,3,0,25,4814.77,0,0,0,1,15,1,6
94.29,0,86307.88,2,3,3,12,48.18,4,3,103,2219.62,3,0,1,7,21,5,6
139.19,3,87573.85,2,3,0,9,174.75,0,3,148,1537.86,1,0,0,1,9,6,4
335.32,2,35223.03,2,0,2,3,69.72,0,3,207,4287.83,2,0,1,22,26,2,6
213.95,2,85887.37,1,3,4,9,394.5,1,3,195,3063.29,0,0,0,21,20,11,0
151.28,3,84811.03,0,3,0,1,57.37,4,2,134,2778.56,0,1,1,17,14,5,6
35.66,1,78760.47,0,4,4,14,301.52,1,2,234,1954.31,1,0,0,4,3,5,2
8.18,1,69710.82,2,1,0,1,29.02,1,3,190,4075.29,3,0,0,7,22,2,2
49.88,1,38179.4,0,3,3,1,43.89,2,2,229,1250.06,1,0,0,1,13,12,2
118.79,0,80256.83,0,0,3,6,49.21,1,3,227,1358.79,1,1,0,12,7,8,0
4.83,0,58786.45,0,2,1,6,159.13,3,0,163,2685.89,0,1,1,19,14,5,6
142.72,2,85353.72,2,0,4,4,352.45,0,0,34,559.04,3,1,0,10,6,8,6
89.19,1,4656.55,0,4,0,10,233.5,2,1,209,3213.18,3,0,0,10,9,1,0
121.44,2,18723.57,1,1,0,4,202.65,3,2,133,1320.66,2,0,0,21,28,5,6
41.83,1,88803.41,0,4,0,2,226.95,3,3,142,2726.18,3,1,1,10,9,9,5
207.98,0,62836.43,2,2,2,8,464.16,4,3,67,4583.53,0,1,1,11,14,3,1
40.76,0,10888.15,0,1,1,10,201.34,1,2,87,3035.56,3,1,1,1,20,3,0
56.67,2,27861.61,1,0,2,12,175.74,3,3,85,3656.88,1,1,0,5,26,12,1
72.15,0,92833.34,0,1,1,13,218.47,3,3,226,4699.6,1,0,0,15,2,6,4
13.51,2,70093.91,1,1,4,4,298.23,0,1,60,3750.35,3,0,0,22,3,5,2
11.49,3,45718.24,1,3,3,2,58.85,4,0,82,3788.32,0,0,1,0,25,3,5
49.64,3,26012.06,1,1,3,3,416.78,0,3,216,4808.32,3,1,0,12,18,8,4
41.15,1,44747.47,2,3,2,1,24.21,4,0,76,3638.73,1,0,1,1,16,12,5
117.98,2,56065.92,2,4,4,2,235.92,3,3,51,1482.77,1,1,0,16,5,2,6
33.28,2,57713.33,0,3,3,3,172.52,1,2,184,2697.93,0,0,0,0,27,8,6
60.7,0,82762.84,1,3,2,5,288.41,1,0,233,2309.6,1,0,0,14,24,12,6
83.57,3,9984.54,2,3,2,11,51.1,4,2,200,2664.62,1,1,1,8,10,5,2
3.53,2,3953.33,1,0,3,11,258.64,0,0,67,2883.3,1,1,0,0,10,6,5
21.48,1,13553.56,2,2,0,8,472.17,1,3,226,3371.34,2,1,0,6,20,7,3
72.28,1,34528.54,0,1,1,8,331.44,1,2,101,2868.31,0,0,0,7,16,3,3
40.42,1,91086.16,2,3,3,1,59.21,3,3,221,543.5,2,0,0,2,15,8,1
30.61,0,42503.74,2,2,4,9,469.33,4,1,60,3082.28,2,0,1,18,6,12,2
86.93,3,36918.51,1,1,4,4,303.64,1,2,216,1304.12,0,0,0,16,22,11,2
2.86,0,28160.04,1,2,3,12,429.69,2,3,231,1094.7,3,0,0,7,9,6,4
38.35,2,60132.43,2,2,0,7,90.55,2,2,177,1235.88,0,1,0,13,2,7,6
115.2,3,21109.68,0,1,0,5,171.21,3,3,20,273.71,0,1,0,2,27,6,1
44.06,3,66029.77,0,4,2,3,282.46,0,0,73,791.34,1,0,0,14,19,2,6
176.19,3,50109.94,0,1,0,3,161.33,0,3,18,822.89,0,0,0,15,26,2,6
165.67,2,37426.64,2,3,2,6,279.64,0,2,78,1914.55,0,0,0,5,10,11,4
51.05,1,41662.34,2,1,3,11,485.53,0,1,45,1238.74,1,1,0,20,1,5,0
82.24,1,24851.52,1,3,4,11,371.16,3,3,120,2698.45,0,0,0,10,12,9,1
75.74,0,2461.73,1,3,2,9,142.91,2,1,17,4786.58,2,0,0,5,14,4,4
129.11,3,17642.69,0,2,2,11,54.96,0,0,136,1342.57,0,1,0,22,18,4,1
27.12,3,4601.28,1,1,2,9,291.93,0,0,56,4588.96,0,0,0,1,21,6,2
43.6,1,55357.15,0,0,4,14,390.51,4,2,40,1866.71,2,1,1,0,3,12,6
55.03,2,92732.44,2,2,1,1,487.23,1,2,27,3403.02,3,0,1,8,9,5,1
148.41,2,12380.21,1,0,0,10,103.28,3,2,135,2385.12,0,0,1,7,13,12,2
93.57,0,48638.4,1,3,3,4,154.68,0,3,31,1282.55,3,0,0,12,17,6,5
137.09,2,56672.17,2,4,3,2,200.84,4,3,18,771.47,1,0,1,11,29,5,0
22.98,3,84915.38,2,1,3,10,312.49,2,3,121,4164.0,0,0,0,12,29,9,4
112.64,1,58877.72,1,1,4,5,193.77,4,2,210,1128.69,3,0,1,18,29,12,4
22.34,0,52000.66,2,1,0,13,439.97,0,0,46,1589.09,2,0,1,18,1,6,3
82.1,3,6023.39,1,1,1,8,440.93,3,3,163,2136.46,1,0,0,7,13,8,6
104.77,0,43050.94,2,0,1,9,39.39,4,3,40,904.46,0,1,1,2,10,10,1
25.02,3,17277.43,1,3,1,10,405.41,1,0,49,715.63,2,1,0,10,8,1,6
43.58,1,89345.45,0,2,2,7,180.87,2,1,206,3589.09,1,0,1,12,15,1,6
45.53,2,5035.09,2,3,0,8,75.55,1,3,223,4176.95,2,1,0,0,15,7,5
347.42,3,15650.61,0,2,4,2,195.54,3,2,188,2551.06,2,0,0,12,13,12,2
174.28,3,42883.92,2,3,3,13,147.01,0,1,194,2733.47,3,0,0,20,12,5,4
27.92,0,76587.67,1,1,1,6,478.81,2,2,225,104.14,2,0,1,21,7,10,5
129.2,3,85230.55,1,3,1,12,414.54,3,2,36,135.04,1,0,1,10,15,8,1
15.21,3,7687.11,0,4,4,12,122.48,2,3,164,2998.37,2,0,0,16,18,1,2
14.99,2,33833.11,0,3,0,2,292.32,4,1,116,1705.22,0,0,1,0,19,2,6
14.26,3,59067.65,2,4,4,4,470.54,3,3,208,3277.37,1,0,0,3,4,11,5
3.13,0,39053.47,1,4,1,11,480.12,0,0,41,4880.03,1,0,0,2,23,6,4
51.13,0,89644.47,1,0,2,4,66.69,0,0,135,2966.33,1,0,0,7,29,4,5
19.31,1,55304.93,1,2,1,7,472.02,4,2,97,1511.45,2,0,1,23,26,2,6
189.97,0,72676.18,2,3,1,2,392.08,2,2,197,614.96,1,0,0,17,8,10,6
45.5,1,60851.27,1,4,2,11,430.18,0,0,194,3101.7,1,0,1,9,18,6,6
42.7,3,28554.26,2,2,4,4,103.87,4,3,205,1047.3,3,0,1,14,26,12,1
111.07,2,56651.33,1,4,3,4,127.33,1,2,146,4342.52,1,1,0,13,14,9,3
187.17,0,80368.2,0,2,2,4,144.99,3,3,123,4175.13,3,0,1,3,7,6,2
171.56,2,52514.72,0,3,3,2,264.23,1,2,189,4298.14,1,0,0,19,26,2,6
84.07,2,76369.59,1,0,1,14,464.17,3,2,217,4336.49,2,0,0,16,3,3,4
20.72,0,11001.5,1,2,3,5,219.45,1,0,38,4007.93,3,0,0,10,1,12,4
35.24,0,64652.86,1,1,1,3,71.63,1,2,27,2994.03,1,0,0,8,30,10,0
384.23,3,28641.05,2,2,3,13,242.17,0,2,211,2558.84,0,0,0,18,1,1,6
19.7,0,50029.61,0,4,1,9,481.53,0,0,53,2174.85,2,0,1,22,14,8,0
224.43,3,42964.53,2,0,0,1,155.49,1,3,196,320.29,0,0,1,13,8,4,5
33.61,2,45896.2,0,1,2,12,96.78,2,0,55,1856.45,1,0,0,12,4,9,0
49.38,2,74293.4,2,4,1,4,312.86,1,3,35,4859.32,0,0,0,13,27,12,2
66.38,2,28359.61,1,2,3,9,409.74,3,1,54,405.3,1,1,0,20,22,10,6
131.47,0,96436.96,0,2,0,14,296.85,4,0,150,180.31,1,0,1,14,7,2,1
272.83,3,35217.18,2,4,2,12,160.06,3,3,157,4818.97,3,1,1,12,21,2,1
5.05,0,2822.96,0,2,1,14,143.26,2,2,78,3799.25,0,0,0,0,17,10,1
4.64,0,82254.09,2,2,4,9,483.53,4,3,81,882.6,2,0,1,4,21,7,4
48.05,2,23618.59,1,4,3,9,57.26,0,2,133,467.42,0,1,0,14,15,11,2
12.44,1,72443.87,1,1,3,14,74.67,1,1,88,3752.14,3,1,1,20,2,1,0
264.3,2,37232.93,0,0,2,6,450.24,0,1,125,2652.44,2,0,0,18,15,10,6
10.05,3,51714.28,1,1,3,9,151.9,0,3,168,1349.89,3,0,0,17,9,7,6
